### Config 
### Period B--G ### brilcalc lumi -u /pb --normtag /afs/cern.ch/user/l/lumipro/public/normtag_file/normtag_DATACERT.json  -i v802/Cert_271036-280385_13TeV_PromptReco_Collisions16_JSON.txt
Lumi = 27655.802
HLT_Mu17_Mu8_DZ_v 810.716
HLT_Mu17_Mu8_SameSign_DZ_v 27225.806
HLT_Mu20_Mu10_SameSign_DZ_v 27225.807
HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v 27225.807
HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v 27225.807
HLT_Mu17_TrkIsoVVL_TkMu8_TrkIsoVVL_DZ_v 27225.806
HLT_Mu17_TrkIsoVVL_TkMu8_TrkIsoVVL_v 27225.806
HLT_Mu8_v 3.545
HLT_Mu17_v 276.521
HLT_Mu20_v 126.226
HLT_Mu50_v 27652.352
HLT_IsoMu20_v 9773.894
HLT_IsoTkMu20_v 9773.894
HLT_IsoMu22_v 23912.088
HLT_IsoTkMu22_v 23912.088
HLT_Mu17_TrkIsoVVL_v 208.444
HLT_Mu8_TrkIsoVVL_v 7.035
HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v 27347.875
HLT_Mu8_TrkIsoVVL_Ele17_CaloIdL_TrackIdL_IsoVL_v 21182.723
HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v 27225.807
HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v 27643.42
HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_DZ_v 9634.641
HLT_Mu17_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v 21182.723
HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_DZ_v 9339.096
HLT_Mu23_TrkIsoVVL_Ele8_CaloIdL_TrackIdL_IsoVL_v 27652.351
HLT_Mu12_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v 9339.096
HLT_Mu12_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_DZ_v 9339.096
HLT_Mu30_Ele30_CaloIdL_GsfTrkIdVL_v 27347.876
HLT_Mu8_DiEle12_CaloIdL_TrackIdL_v 27652.351
HLT_TripleMu_12_10_5_v 27643.421
HLT_DiMu9_Ele9_CaloIdL_TrackIdL_v 27652.351
HLT_IsoTkMu24_v 27652.351
HLT_IsoMu24_v 27652.351
HLT_Ele105_CaloIdVT_GsfTrkIdT_v 20261.594
HLT_Ele10_CaloIdM_TrackIdM_CentralPFJet30_BTagCSV_p13_v 366.53
HLT_Ele115_CaloIdVT_GsfTrkIdT_v 24660.284
HLT_Ele12_CaloIdL_TrackIdL_IsoVL_PFJet30_v 13.146
HLT_Ele12_CaloIdL_TrackIdL_IsoVL_v 5.879
HLT_Ele12_CaloIdM_TrackIdM_PFJet30_v 14.591
HLT_Ele15_IsoVVVL_BTagCSV_p067_PFHT400_v 1465.874
HLT_Ele15_IsoVVVL_PFHT350_PFMET50_v 2445.748
HLT_Ele15_IsoVVVL_PFHT350_v 2445.748
HLT_Ele15_IsoVVVL_PFHT400_PFMET50_v 855.186
HLT_Ele15_IsoVVVL_PFHT400_v 855.186
HLT_Ele15_IsoVVVL_PFHT600_v 2850.826
HLT_Ele16_Ele12_Ele8_CaloIdL_TrackIdL_v 25624.588
HLT_Ele17_CaloIdL_GsfTrkIdVL_v 26.677
HLT_Ele17_CaloIdL_TrackIdL_IsoVL_PFJet30_v 56.52
HLT_Ele17_CaloIdL_TrackIdL_IsoVL_v 30.038
HLT_Ele17_CaloIdM_TrackIdM_PFJet30_v 58.685
HLT_Ele17_Ele12_CaloIdL_TrackIdL_IsoVL_DZ_v 16597.461
HLT_Ele17_Ele12_CaloIdL_TrackIdL_IsoVL_v 1440.046
HLT_Ele22_eta2p1_WPLoose_Gsf_LooseIsoPFTau20_SingleL1_v 10200.22
HLT_Ele22_eta2p1_WPLoose_Gsf_v 4223.832
HLT_Ele23_CaloIdL_TrackIdL_IsoVL_PFJet30_v 58.733
HLT_Ele23_CaloIdL_TrackIdL_IsoVL_v 15.202
HLT_Ele23_CaloIdM_TrackIdM_PFJet30_v 58.685
HLT_Ele23_Ele12_CaloIdL_TrackIdL_IsoVL_DZ_L1JetTauSeeded_v 20116.703
HLT_Ele23_Ele12_CaloIdL_TrackIdL_IsoVL_DZ_v 17676.578
HLT_Ele23_Ele12_CaloIdL_TrackIdL_IsoVL_v 3968.249
HLT_Ele23_WPLoose_Gsf_WHbbBoost_v 1928.186
HLT_Ele23_WPLoose_Gsf_v 4120.126
HLT_Ele24_eta2p1_WPLoose_Gsf_LooseIsoPFTau20_SingleL1_v 13954.427
HLT_Ele24_eta2p1_WPLoose_Gsf_LooseIsoPFTau20_v 17502.991
HLT_Ele24_eta2p1_WPLoose_Gsf_LooseIsoPFTau30_v 14286.951
HLT_Ele24_eta2p1_WPLoose_Gsf_v 4336.5
HLT_Ele250_CaloIdVT_GsfTrkIdT_v 16507.009
HLT_Ele25_WPTight_Gsf_v 17456.103
HLT_Ele25_eta2p1_WPLoose_Gsf_v 17456.103
HLT_Ele25_eta2p1_WPTight_Gsf_v 17676.578
HLT_Ele27_HighEta_Ele20_Mass55_v 15367.743
HLT_Ele27_WPLoose_Gsf_WHbbBoost_v 17676.578
HLT_Ele27_WPLoose_Gsf_v 4120.126
HLT_Ele27_WPTight_Gsf_L1JetTauSeeded_v 20116.703
HLT_Ele27_WPTight_Gsf_v 17676.578
HLT_Ele27_eta2p1_WPLoose_Gsf_HT200_v 25624.588
HLT_Ele27_eta2p1_WPLoose_Gsf_LooseIsoPFTau20_SingleL1_v 13954.427
HLT_Ele27_eta2p1_WPLoose_Gsf_v 17676.578
HLT_Ele27_eta2p1_WPTight_Gsf_v 17676.578
HLT_Ele300_CaloIdVT_GsfTrkIdT_v 16507.009
HLT_Ele30WP60_Ele8_Mass55_v 8153.452
HLT_Ele30WP60_SC4_Mass55_v 6132.74
HLT_Ele32_eta2p1_WPLoose_Gsf_LooseIsoPFTau20_SingleL1_v 13954.427
HLT_Ele32_eta2p1_WPTight_Gsf_v 17676.578
HLT_Ele35_CaloIdVT_GsfTrkIdT_PFJet150_PFJet50_v 152.596
HLT_Ele35_WPLoose_Gsf_v 17456.103
HLT_Ele45_CaloIdVT_GsfTrkIdT_PFJet200_PFJet50_v 27652.351
HLT_Ele45_WPLoose_Gsf_L1JetTauSeeded_v 20116.703
HLT_Ele45_WPLoose_Gsf_v 17676.578
HLT_Ele50_CaloIdVT_GsfTrkIdT_PFJet140_v 18441.958
HLT_Ele50_CaloIdVT_GsfTrkIdT_PFJet165_v 27652.351
HLT_Ele50_IsoVVVL_PFHT400_v 855.186
HLT_Ele8_CaloIdL_TrackIdL_IsoVL_PFJet30_v 5.615
HLT_Ele8_CaloIdM_TrackIdM_PFJet30_v 5.615
END
